Date,Word,sponsored,Sponsor,Variant
8 October 2025,FIXER,FALSE,,
9 October 2025,VEGAN,TRUE,All Foods,Today's word from All Foods - Real food for real people
10 October 2025,KLEPT,FALSE,,
11 October 2025,CORPO,FALSE,,
12 October 2025,DEATH,TRUE,All World Insurance,Today's word from All World Insurance - Because tomorrow isn't guaranteed
13 October 2025,GRIME,FALSE,,
14 October 2025,UNITY,TRUE,Constitutional Arms,Today's word brought to you by Constitutional Arms - Trusted by Night City
15 October 2025,CHOOH,FALSE,,
16 October 2025,NEXUS,FALSE,,
17 October 2025,RIFLE,TRUE,BUDGET ARMS,Brought to you by Budget Arms - Firepower for the people
18 October 2025,SNAFU,FALSE,,
19 October 2025,TRUTH,FALSE,,
20 October 2025,CLEAN,TRUE,Wash n' Run,Brought to you by Wash n' Run - Because life's too short for dirty laundry
21 October 2025,RELIC,FALSE,,
22 October 2025,CABAL,FALSE,,
23 October 2025,ANGEL,FALSE,,
24 October 2025,DRIVE,TRUE,Combat Cab,Brought to you by Combat Cab - Fast, reliable, armed
25 October 2025,DELTA,FALSE,,
26 October 2025,BANAL,FALSE,,
27 October 2025,CLONE,FALSE,,
28 October 2025,MOURN,TRUE,All World Insurance,Today's word from All World Insurance - Because tomorrow isn't guaranteed
29 October 2025,HOBBY,FALSE,,
30 October 2025,KARMA,FALSE,,
31 October 2025,CLOAK,FALSE,,
1 November 2025,SHOOT,TRUE,BUDGET ARMS,Brought to you by Budget Arms - Firepower for the people
2 November 2025,HAVOC,FALSE,,
3 November 2025,GOUGE,FALSE,,
4 November 2025,YUMMY,TRUE,All Foods,Today's word from All Foods - Real food for real people
5 November 2025,INTEL,FALSE,,
6 November 2025,NOMAD,FALSE,,
7 November 2025,DINER,FALSE,,
8 November 2025,OPIUM,FALSE,,
9 November 2025,ADORE,FALSE,,
10 November 2025,METAL,TRUE,Constitutional Arms,Today's word brought to you by Constitutional Arms - Trusted by Night City
11 November 2025,DECAY,FALSE,,
12 November 2025,KIOSK,FALSE,,
13 November 2025,BRAIN,FALSE,,
14 November 2025,STAIN,TRUE,Wash n' Run,Brought to you by Wash n' Run - Because life's too short for dirty laundry
15 November 2025,BONER,FALSE,,
16 November 2025,NAKED,FALSE,,
17 November 2025,COUCH,FALSE,,
18 November 2025,SCOPE,TRUE,BUDGET ARMS,Brought to you by Budget Arms - Firepower for the people
19 November 2025,FUZZY,FALSE,,
20 November 2025,JOKER,FALSE,,
21 November 2025,HORSE,FALSE,,
22 November 2025,PAPAL,FALSE,,
23 November 2025,VODKA,FALSE,,
24 November 2025,CURVY,FALSE,,
25 November 2025,SAUNA,FALSE,,
26 November 2025,DREAM,FALSE,,
27 November 2025,STUMP,FALSE,,
28 November 2025,BLAST,TRUE,Combat Cab,Today's word from Combat Cab - Fast, reliable, armed
29 November 2025,LEDGE,FALSE,,
30 November 2025,BEACH,FALSE,,
1 December 2025,ASSET,FALSE,,
2 December 2025,ALLOW,FALSE,,
3 December 2025,FIXER,FALSE,,
4 December 2025,VEGAN,FALSE,,
5 December 2025,KLEPT,FALSE,,
6 December 2025,CORPO,FALSE,,
7 December 2025,DEATH,FALSE,,
8 December 2025,GRIME,FALSE,,
9 December 2025,UNITY,FALSE,,
10 December 2025,CHOOH,FALSE,,
